ID,age,gender,ses,poli,civicengage1,colleff1_1,colleff2_1,affectpol1,polar1,perpolarlay1,perpolarelite1,media1_tv1,media2_newspaper1,media3_sns1,media4_youtube1,media5_community1,media6_other1,media6_othertext1,civicengage2,colleff1_2,colleff2_2,voteintention2,media1_tv2,media2_newspaper2,media3_sns2,media4_youtube2,media5_community2,media6_other2,media6_othertext2,media1_tv_perc2,media2_newspaper_perc2,media3_sns_perc2,media4_youtube_perc2,media5_community_perc2,media6_other_perc2,media6_othertext_perc2,affectpol2,polar2,perpolarlay2,perpolarelite2,civicengage3,colleff1_3,colleff2_3,vote3,media1_tv3,media2_newspaper3,media3_sns3,media4_youtube3,media5_community3,media6_other3,media6_othertext3,media1_tv_perc3,media2_newspaper_perc3,media3_sns_perc3,media4_youtube_perc3,media5_community_perc3,media6_other_perc3,media6_othertext_perc3,affectpol3,polar3,perpolarlay3,perpolarelite3
281,32,1,4,10,0,2,2,100,10,1,1,NA,NA,NA,NA,5,NA,NA,0,2,2,1,NA,NA,NA,4,5,NA,NA,0,0,0,20,80,NA,NA,50,8,10,6,0,2,2,1,NA,NA,NA,4,5,NA,NA,0,0,0,20,80,0,0,80,7,1,4
282,35,1,4,9,45,3,3,40,3,3,4,1,NA,3,4,5,NA,NA,59,3,4,1,1,NA,3,NA,5,NA,NA,15,5,45,20,15,NA,NA,3,3,6,5,61,3,2,1,1,NA,3,4,5,NA,NA,25,5,35,20,10,0,5,43,4,6,1
283,65,2,4,5,61,3,4,4,1,0,0,1,NA,NA,NA,NA,NA,NA,58,3,3,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,11,0,1,1,49,3,2,3,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,2,1,1,1
284,42,2,2,5,11,5,4,60,1,6,7,1,NA,NA,NA,NA,NA,NA,10,5,5,1,1,NA,NA,NA,NA,NA,NA,90,10,0,0,0,NA,NA,60,1,7,7,37,5,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,67,0,6,5
285,53,2,4,10,23,4,3,6,5,0,0,1,NA,NA,NA,NA,NA,NA,50,4,3,1,1,NA,NA,NA,NA,NA,NA,85,0,10,5,0,NA,NA,0,0,0,0,19,4,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,1,0,0,0
286,53,2,4,3,50,4,4,47,4,4,1,1,NA,NA,4,NA,NA,NA,16,4,4,1,1,NA,NA,4,NA,NA,NA,70,10,0,10,0,NA,10,15,3,7,6,10,4,4,1,1,2,NA,4,NA,NA,NA,50,10,5,30,0,0,5,47,2,6,6
287,27,1,5,10,0,3,4,70,5,5,10,NA,NA,3,NA,NA,NA,NA,0,3,4,1,NA,NA,3,4,NA,NA,NA,0,0,0,100,0,NA,NA,80,3,8,5,0,3,3,1,NA,NA,3,NA,NA,NA,NA,0,0,0,100,0,0,0,70,3,8,8
289,38,1,3,5,25,3,3,15,0,9,9,1,NA,3,4,5,NA,NA,5,4,3,1,1,NA,NA,4,5,NA,NA,20,0,0,60,20,NA,NA,30,0,7,9,22,4,3,1,1,NA,NA,4,5,NA,NA,20,20,0,40,20,0,0,15,0,6,8
290,53,2,5,5,38,4,4,1,1,1,0,1,NA,NA,4,5,NA,NA,69,5,4,1,NA,2,NA,NA,5,NA,NA,10,15,15,40,20,NA,NA,19,3,1,1,75,4,3,1,NA,NA,3,NA,NA,NA,NA,10,10,5,50,1,0,24,60,1,1,0
291,63,2,5,5,67,4,4,84,2,9,9,1,NA,NA,NA,NA,NA,NA,54,4,4,1,1,NA,NA,NA,NA,NA,NA,60,10,10,10,10,NA,NA,76,1,10,10,4,4,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,82,2,9,8
292,40,2,2,5,3,3,2,34,2,0,0,1,NA,NA,4,NA,NA,NA,20,3,3,3,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,1,4,4,4,38,3,3,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,3,1,4,0
